,매장명,매장주소,lat,lng
201,본죽 금천롯데캐슬점,서울특별시 금천구 벚꽃로 40 (독산동) 롯데캐슬골드파크1차 113동 113호,37.4599082,126.8939352
202,본죽 위례중앙점,"서울특별시 송파구 위례광장로 136 (장지동, 위례아이파크) 위례아이파크3동 C137호",37.476495,127.1422214
203,본죽 신정네거리역점,서울특별시 양천구 중앙로 254 (신정동) 신정화산빌딩 1층 10호,37.5191659,126.853621
204,본도시락 양재점,서울특별시 서초구 강남대로43길 23 (서초동),37.4873134,127.0310599
205,본 죽&비빔밥 성신여대점,서울특별시 성북구 보문로34길 51 (동선동1가) 1층,37.5909311,127.018132
206,본도시락 남부터미널점,"서울특별시 서초구 서초중앙로 42 (서초동, 블루핀타워) B105호",37.4858725,127.0162758
207,본죽 평창점,서울특별시 종로구 평창12길 3 (평창동) 220번지 나라빌딩 1층,37.6061821,126.9672314
208,본도시락 대치은마점,서울특별시 강남구 도곡로 521 (대치동),37.50003,127.0632457
209,본죽 신정점,서울특별시 양천구 은행정로 16 (신정동) 신정동 1019-2,37.5210776,126.8599516
210,본 죽&비빔밥 발산사거리점,"서울특별시 강서구 공항대로 269-15 (마곡동, 힐스테이트에코마곡) 105호",37.5596114,126.8372423
211,본 죽&비빔밥 고려대점,서울특별시 성북구 고려대로 90 (안암동5가) 2층,37.5861398,127.0292445
212,본죽 강서구청점,서울특별시 강서구 공항대로 382 우장산롯데캐슬아파트 상가 111-1,37.5556299,126.8481784
213,본죽 내발산점,"서울특별시 강서구 수명로 68-35 (내발산동, 웨스트엔드중정) 1층",37.5529875,126.8267708
214,본죽 동부시장점,서울특별시 중랑구 망우로32길 20 (상봉동) 107호,37.5929988,127.0764914
215,본도시락 디지털미디어시티역점,"서울특별시 은평구 수색로 191 두빌191, 1층",37.5782607,126.9010885
216,본도시락 신설동역점,서울특별시 동대문구 왕산로 9-1 (신설동),37.576337,127.0246299
217,본죽 성수역점,서울특별시 성동구 아차산로7길 15 (성수동2가) 1층,37.546625,127.0546176
218,본 죽&비빔밥 장지파인타운점,"서울특별시 송파구 충민로2길 24 (장지동, 리더스프라자) 101호",37.4776424,127.1272823
219,본 죽&비빔밥 잠실점,서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 1동 104호,37.517819,127.1017233
220,본 죽&비빔밥 불광역아울렛점,서울특별시 은평구 불광로 16 (대조동) 1층,37.6096838,126.9282527
221,본죽 개롱역점,"서울특별시 송파구 오금로 414 (가락동, 명문빌딩) 104호",37.4972177,127.1359335
222,본도시락 서대문점,"서울특별시 서대문구 통일로 149-1 ,1층(냉천동)",37.5675317,126.9646453
223,본도시락 방배역점,서울특별시 서초구 방배중앙로 58,37.4848532,126.9908296
224,본 죽&비빔밥 영등포시장역점,서울특별시 영등포구 영등포로 219 (영등포동5가),37.5201519,126.9058157
225,본 죽&비빔밥 목동파라곤점,"서울특별시 양천구 목동서로 155 (목동, 목동파라곤) B1-15호",37.5299683,126.8752425
